URL,OBJECTID,NAME,the_geom,lon,lat
http://web.mta.info/nyct/service/,329,Ave U,POINT,-73.95581,40.6
http://web.mta.info/nyct/service/,330,Kings Hwy,POINT,-73.95761,40.61
http://web.mta.info/nyct/service/,331,Ave U,POINT,-73.97908,40.6
http://web.mta.info/nyct/service/,332,Kings Hwy,POINT,-73.98037,40.6
http://web.mta.info/nyct/service/,333,Neptune Ave,POINT,-73.97459,40.58
http://web.mta.info/nyct/service/,334,Ave X,POINT,-73.97427,40.59
http://web.mta.info/nyct/service/,335,Bay 50th St,POINT,-73.98377,40.59
http://web.mta.info/nyct/service/,336,Gravesend - 86th St,POINT,-73.97819,40.59
http://web.mta.info/nyct/service/,337,Ave P,POINT,-73.973,40.61
http://web.mta.info/nyct/service/,338,Ave N,POINT,-73.97405,40.61
http://web.mta.info/nyct/service/,339,Bay Pky,POINT,-73.97526,40.62
http://web.mta.info/nyct/service/,340,Ave M,POINT,-73.95924,40.62
